SVC,Linear SVC,LDA ,K Neighbour,LR
0.736263736,0.659340659,0.637362637,0.747252747,0.67032967
0.703296703,0.604395604,0.604395604,0.692307692,0.582417582
0.769230769,0.758241758,0.67032967,0.736263736,0.747252747
0.747252747,0.659340659,0.659340659,0.714285714,0.659340659
0.67032967,0.615384615,0.648351648,0.626373626,0.626373626
0.78021978,0.615384615,0.67032967,0.648351648,0.714285714
0.736263736,0.758241758,0.736263736,0.681318681,0.802197802
0.736263736,0.835164835,0.769230769,0.736263736,0.802197802
0.791208791,0.824175824,0.78021978,0.736263736,0.846153846
0.725274725,0.78021978,0.736263736,0.725274725,0.813186813
0.769230769,0.846153846,0.78021978,0.747252747,0.824175824
0.714285714,0.78021978,0.78021978,0.681318681,0.802197802
0.681318681,0.758241758,0.747252747,0.769230769,0.714285714
0.791208791,0.813186813,0.857142857,0.747252747,0.857142857
0.758241758,0.813186813,0.791208791,0.659340659,0.835164835
0.747252747,0.78021978,0.736263736,0.714285714,0.791208791
0.78021978,0.868131868,0.791208791,0.769230769,0.89010989
0.769230769,0.835164835,0.824175824,0.791208791,0.846153846
0.692307692,0.769230769,0.725274725,0.681318681,0.791208791
0.725274725,0.802197802,0.802197802,0.703296703,0.802197802
0.736263736,0.824175824,0.813186813,0.758241758,0.835164835
0.813186813,0.824175824,0.758241758,0.769230769,0.813186813
0.791208791,0.824175824,0.791208791,0.791208791,0.824175824
0.758241758,0.769230769,0.791208791,0.725274725,0.769230769
0.736263736,0.857142857,0.824175824,0.835164835,0.835164835
0.747252747,0.78021978,0.802197802,0.791208791,0.78021978
0.736263736,0.824175824,0.769230769,0.758241758,0.813186813
0.714285714,0.769230769,0.736263736,0.725274725,0.758241758
0.681318681,0.802197802,0.725274725,0.747252747,0.802197802
